Tem,0.001,0.01,0.1,1,10,100,HPL
700,1.11E-07,1.44E-07,1.59E-07,1.63E-07,1.64E-07,1.64E-07,1.61E-07
800,8.43E-05,1.41E-04,1.84E-04,2.04E-04,2.09E-04,2.10E-04,2.15E-04
900,1.22E-02,2.56E-02,4.10E-02,5.20E-02,5.66E-02,5.76E-02,5.77E-02
1000,5.12E-01,1.32E+00,2.57E+00,3.84E+00,4.60E+00,4.86E+00,4.98E+00
1100,8.94E+00,2.76E+01,6.52E+01,1.16E+02,1.59E+02,1.79E+02,1.89E+02
1200,8.21E+01,2.99E+02,8.48E+02,1.82E+03,2.90E+03,3.62E+03,3.90E+03
1300,4.29E+02,1.81E+03,6.06E+03,1.55E+04,2.93E+04,4.15E+04,4.98E+04
1400,1.51E+03,7.29E+03,2.85E+04,8.67E+04,1.96E+05,3.22E+05,4.37E+05
1500,3.82E+03,2.07E+04,9.34E+04,3.34E+05,8.95E+05,1.73E+06,2.82E+06
1600,7.24E+03,4.36E+04,2.23E+05,9.23E+05,2.93E+06,6.72E+06,1.43E+07
1700,1.10E+04,7.30E+04,4.19E+05,1.99E+06,7.38E+06,2.01E+07,5.96E+07
1800,1.40E+04,1.01E+05,6.39E+05,3.44E+06,1.48E+07,4.78E+07,2.10E+08
1900,1.52E+04,1.17E+05,8.16E+05,4.92E+06,2.44E+07,9.28E+07,6.48E+08
2000,1.44E+04,1.18E+05,8.84E+05,5.89E+06,3.31E+07,1.47E+08,1.77E+09
